Date,Days,Location,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct
12/13/20,1,LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/20,1,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/20,1,GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/20,1,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/20,1,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/20,1,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,TX,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
